disease,symptom,disease_umls,symptom_umls,weight
Swayback,Quadriparesis,C0038981,C0270790,1
Swayback,Recurrent Low Back Pain,C0038981,C0751648,1
Swayback,Vertebrogenic Pain Syndrome,C0038981,C0750949,1
Sweat Gland Diseases,Edema,C0038986,C0013604,1
Sweat Gland Diseases,Fever,C0038986,C0015967,1
Sweat Gland Diseases,Hot flushes,C0038986,C0600142,1
Sweat Gland Diseases,"Jaundice, Hemolytic",C0038986,C0242183,1
Sweat Gland Diseases,Obesity,C0038986,C0028754,1
Sweat Gland Diseases,"Pain, Splitting",C0038986,C0458257,1
Sweat Gland Diseases,Pruritus,C0038986,C0033774,1
Sweat Gland Diseases,Psychogenic coma,C0038986,C0860634,1
Sweat Gland Diseases,"Reflex, Pendular",C0038986,C0277850,1
Sweat Gland Neoplasms,"Amblyopia, Suppression",C0038987,C0750903,1
Sweat Gland Neoplasms,Conductive hearing loss,C0038987,C0018777,1
Sweat Gland Neoplasms,Earache,C0038987,C0013456,1
Sweat Gland Neoplasms,Facial paralysis,C0038987,C0015469,1
Sweat Gland Neoplasms,Fever of Unknown Origin,C0038987,C0015970,1
Sweat Gland Neoplasms,"Hearing Loss, Extreme",C0038987,C0086395,1
Sweat Gland Neoplasms,"Hearing Loss, Mixed Conductive-Sensorineural",C0038987,C0155552,1
Sweat Gland Neoplasms,"Pain, Splitting",C0038987,C0458257,1
Sweat Gland Neoplasms,Pruritus,C0038987,C0033774,1
Sweat Gland Neoplasms,Urinary Incontinence,C0038987,C0042024,1
Sweating Sickness,Chills,C0242843,C0085593,1
Sweating Sickness,Muscle Weakness,C0242843,C0151786,1
Sweating Sickness,"Pain, Splitting",C0242843,C0458257,1
Sweet Syndrome,Acute Coronary Syndrome,C0085077,C0948089,1
Sweet Syndrome,"Aphasia, Semantic",C0085077,C0234482,1
Sweet Syndrome,Arthralgia,C0085077,C0003862,1
Sweet Syndrome,Bilateral Deafness,C0085077,C3665473,1
Sweet Syndrome,Fever,C0085077,C0015967,1
Sweet Syndrome,Fever of Unknown Origin,C0085077,C0015970,1
Sweet Syndrome,Flushing,C0085077,C0016382,1
Sweet Syndrome,Neck Pain,C0085077,C0007859,1
Sweet Syndrome,Pruritus,C0085077,C0033774,1
Sweet Syndrome,Sensorineural Hearing Loss (disorder),C0085077,C0018784,1
Swine Erysipelas,Body Weight,C0039007,C0005910,1
Swine influenza,Anorexia,C0276357,C0003123,1
Swine influenza,Body Weight,C0276357,C0005910,1
Swine influenza,Fever,C0276357,C0015967,1
Swine influenza,Hyperoxia,C0276357,C0242706,1
Swine influenza,Obesity,C0276357,C0028754,1
Swine influenza,Premature aging syndrome,C0276357,C0231341,1
Swine influenza,REM Sleep Deprivation,C0276357,C0751506,1
Swine influenza,Sneezing,C0276357,C0037383,1
Swine influenza,Weight Gain,C0276357,C0043094,1
Swine influenza,Weight Loss,C0276357,C1262477,1
Swyer-James Syndrome,Benign Hereditary Chorea,C0264395,C0393584,1
Swyer-James Syndrome,Chest Pain,C0264395,C0008031,1
Swyer-James Syndrome,Coughing,C0264395,C0010200,1
Swyer-James Syndrome,Fever,C0264395,C0015967,1
Swyer-James Syndrome,Hemoptysis,C0264395,C0019079,1
Swyer-James Syndrome,Orthopnea,C0264395,C0085619,1
Swyer-James Syndrome,Pleural Rub,C0264395,C0032230,1
"Syncope, Cerebral",Amaurosis Fugax,C0751721,C0149793,1
"Syncope, Cerebral",Hyperventilation,C0751721,C0020578,1
"Syncope, Cerebral",Hypocapnia,C0751721,C0085383,1
"Syncope, Cerebral",Lightheadedness,C0751721,C0220870,1
"Syncope, Cerebral",Motion Sickness,C0751721,C0026603,1
"Syncope, Cerebral",Nonepileptic Seizures,C0751721,C3495874,1
"Syncope, Cerebral",Orthostatic intolerance,C0751721,C1535893,1
"Syncope, Cerebral",Presyncope,C0751721,C0700200,1
"Syncope, Cerebral","Reflex, Pendular",C0751721,C0277850,1
"Syncope, Cerebral",Unconscious State,C0751721,C0041657,1
Syndactyly,Conductive hearing loss,C0039075,C0018777,1
Syndactyly,Dysglossia,C0039075,C0751512,1
Syndactyly,Facial paralysis,C0039075,C0015469,1
Syndactyly,Flaccid Muscle Tone,C0039075,C0026825,1
Syndactyly,"Hearing Loss, Extreme",C0039075,C0086395,1
Syndactyly,Innocent Murmurs,C0039075,C0232255,1
Syndactyly,Internal Ophthalmoplegia,C0039075,C0339693,1
Syndactyly,Muscle Spasticity,C0039075,C0026838,1
Syndactyly,"Paraplegia, Cerebral",C0039075,C0278114,1
Syndactyly,Psychomotor Impairment,C0039075,C5441816,1
Syndrome,"Hearing Loss, Extreme",C0039082,C0086395,1
Syndrome,Todd Paralysis,C0039082,C0234544,1
Synkinesis,"Diplopia, Refractive",C0234362,C0271186,1
Synkinesis,Dystonia,C0234362,C0013421,1
Synkinesis,Facial paralysis,C0234362,C0015469,1
Synkinesis,"Gait, Festinating",C0234362,C0231694,1
Synkinesis,Hemifacial Myokymia,C0234362,C0751726,1
Synkinesis,"Myoclonus, Intention",C0234362,C0021712,1
Synkinesis,Occluded Pupils,C0234362,C0271131,1
Synkinesis,Pleural Rub,C0234362,C0032230,1
Synkinesis,Recurrent Laryngeal Nerve Paralysis,C0234362,C0542142,1
Synkinesis,"Reflex, Pendular",C0234362,C0277850,1
Synostotic Posterior Plagiocephaly,"Amblyopia, Suppression",C1833340,C0750903,1
Synostotic Posterior Plagiocephaly,"Auditory Processing Disorder, Central",C1833340,C0751257,1
Synostotic Posterior Plagiocephaly,Conductive hearing loss,C1833340,C0018777,1
Synostotic Posterior Plagiocephaly,Dysglossia,C1833340,C0751512,1
Synostotic Posterior Plagiocephaly,Flaccid Muscle Tone,C1833340,C0026825,1
Synostotic Posterior Plagiocephaly,Internal Ophthalmoplegia,C1833340,C0339693,1
Synostotic Posterior Plagiocephaly,Sensorineural Hearing Loss (disorder),C1833340,C0018784,1
Synostotic Posterior Plagiocephaly,Snoring,C1833340,C0037384,1
Synostotic Posterior Plagiocephaly,Spasmodic torticollis,C1833340,C0152116,1
Synostotic Posterior Plagiocephaly,Visual Impairment,C1833340,C3665347,1
Synovial Cyst,Arthralgia,C0085648,C0003862,1
Synovial Cyst,"Gait, Festinating",C0085648,C0231694,1
Synovial Cyst,Muscle Weakness,C0085648,C0151786,1
Synovial Cyst,Neuralgia,C0085648,C0027796,1
Synovial Cyst,"Pain, Splitting",C0085648,C0458257,1
Synovial Cyst,Recurrent Low Back Pain,C0085648,C0751648,1
Synovial Cyst,Sciatica,C0085648,C0036396,1
Synovial Cyst,Shoulder Pain,C0085648,C0037011,1
Synovial Cyst,Todd Paralysis,C0085648,C0234544,1
Synovial Cyst,Vertebrogenic Pain Syndrome,C0085648,C0750949,1
Synovial Plica Syndrome,Arthralgia,C0878705,C0003862,1
Synovial Plica Syndrome,"Deafness, Sudden",C0878705,C1148477,1
Synovial Plica Syndrome,Edema,C0878705,C0013604,1
Synovial Plica Syndrome,Fever,C0878705,C0015967,1
Synovial Plica Syndrome,Hypergammaglobulinemia,C0878705,C0020455,1
Synovial Plica Syndrome,Lockjaw,C0878705,C0343495,1
Synovial Plica Syndrome,Neuralgic Facial Pain,C0878705,C0751135,1
Synovial Plica Syndrome,"Pain, Postoperative",C0878705,C0030201,1
Synovial Plica Syndrome,"Pain, Splitting",C0878705,C0458257,1
Synovial Plica Syndrome,Shoulder Pain,C0878705,C0037011,1
Synovial osteochondromatosis,Arthralgia,C0029427,C0003862,1
Synovial osteochondromatosis,Central Nervous System Origin Vertigo,C0029427,C0155503,1
Synovial osteochondromatosis,Edema,C0029427,C0013604,1
Synovial osteochondromatosis,Hemicrania,C0029427,C0877781,1
Synovial osteochondromatosis,Intermittent Claudication,C0029427,C0021775,1
Synovial osteochondromatosis,Lockjaw,C0029427,C0343495,1
Synovial osteochondromatosis,Neuralgic Facial Pain,C0029427,C0751135,1
Synovial osteochondromatosis,"Pain, Splitting",C0029427,C0458257,1
Synovial osteochondromatosis,Shoulder Pain,C0029427,C0037011,1
Synovial osteochondromatosis,hearing impairment,C0029427,C1384666,1
"Synovitis, Acne, Pustulosis, Hyperostosis, and Osteitis Syndrome",Arthralgia,C0263859,C0003862,1
"Synovitis, Acne, Pustulosis, Hyperostosis, and Osteitis Syndrome",Chest Pain,C0263859,C0008031,1
"Synovitis, Acne, Pustulosis, Hyperostosis, and Osteitis Syndrome","Deafness, Sudden",C0263859,C1148477,1
"Synovitis, Acne, Pustulosis, Hyperostosis, and Osteitis Syndrome",Mobility Limitation,C0263859,C1565249,1
"Synovitis, Acne, Pustulosis, Hyperostosis, and Osteitis Syndrome",Muscle Weakness,C0263859,C0151786,1
"Synovitis, Acne, Pustulosis, Hyperostosis, and Osteitis Syndrome","Pain, Intractable",C0263859,C0030200,1
"Synovitis, Acne, Pustulosis, Hyperostosis, and Osteitis Syndrome",Paresis,C0263859,C0030552,1
"Synovitis, Acne, Pustulosis, Hyperostosis, and Osteitis Syndrome",Recurrent Laryngeal Nerve Paralysis,C0263859,C0542142,1
"Synovitis, Acne, Pustulosis, Hyperostosis, and Osteitis Syndrome",Shoulder Pain,C0263859,C0037011,1
"Synovitis, Acne, Pustulosis, Hyperostosis, and Osteitis Syndrome",Vertebrogenic Pain Syndrome,C0263859,C0750949,1
Syphilis,Bilateral Deafness,C0039128,C3665473,1
Syphilis,Central Nervous System Origin Vertigo,C0039128,C0155503,1
Syphilis,Eye Manifestations,C0039128,C0015411,1
Syphilis,Fever,C0039128,C0015967,1
Syphilis,"Hearing Loss, Extreme",C0039128,C0086395,1
Syphilis,"Jaundice, Hemolytic",C0039128,C0242183,1
Syphilis,Lightheadedness,C0039128,C0220870,1
Syphilis,Oral Manifestations,C0039128,C0029166,1
Syphilis,Paresis,C0039128,C0030552,1
Syphilis,Sensorineural Hearing Loss (disorder),C0039128,C0018784,1
Syphilis,Skin Ulcer,C0039128,C0037299,1
"Syphilis, Cutaneous",Arthralgia,C0039132,C0003862,1
"Syphilis, Cutaneous",Eye Manifestations,C0039132,C0015411,1
"Syphilis, Cutaneous",Fever,C0039132,C0015967,1
"Syphilis, Cutaneous",Fever of Unknown Origin,C0039132,C0015970,1
"Syphilis, Cutaneous",Hemicrania,C0039132,C0877781,1
"Syphilis, Cutaneous","Myoclonus, Intention",C0039132,C0021712,1
"Syphilis, Cutaneous",Oral Manifestations,C0039132,C0029166,1
"Syphilis, Cutaneous",Pruritus,C0039132,C0033774,1
"Syphilis, Cutaneous","Scotoma, Paracecal",C0039132,C0544679,1
"Syphilis, Cutaneous",Tinea Pedis,C0039132,C0040259,1
"Syphilis, Latent",Dysesthesia,C0039133,C0392699,1
"Syphilis, Latent","Hemianopsia, Homonymous",C0039133,C0271202,1
"Syphilis, Latent",Hemicrania,C0039133,C0877781,1
"Syphilis, Latent","Hemiplegia, Infantile",C0039133,C0392550,1
"Syphilis, Latent",Muscle Weakness,C0039133,C0151786,1
"Syphilis, Latent",Neuralgia,C0039133,C0027796,1
"Syphilis, Latent",Oral Manifestations,C0039133,C0029166,1
"Syphilis, Latent",Paresis,C0039133,C0030552,1
"Syphilis, Latent",Proteinuria,C0039133,C0033687,1
"Syphilis, Latent",Sensorineural Hearing Loss (disorder),C0039133,C0018784,1
Syphilitic chancre,Edema,C0007939,C0013604,1
Syphilitic chancre,Fever,C0007939,C0015967,1
Syphilitic chancre,"Pain, Splitting",C0007939,C0458257,1
Syringoma,Conductive hearing loss,C0206673,C0018777,1
Syringoma,Fever of Unknown Origin,C0206673,C0015970,1
Syringoma,Obesity,C0206673,C0028754,1
Syringoma,"Pain, Splitting",C0206673,C0458257,1
Syringoma,Pruritus,C0206673,C0033774,1
Syringoma,Urinary Incontinence,C0206673,C0042024,1
Systemic Inflammatory Response Syndrome,Albuminuria,C0242966,C0001925,1
Systemic Inflammatory Response Syndrome,Angina Pectoris,C0242966,C0002962,1
Systemic Inflammatory Response Syndrome,Fever,C0242966,C0015967,1
Systemic Inflammatory Response Syndrome,Fever of Unknown Origin,C0242966,C0015970,1
Systemic Inflammatory Response Syndrome,Hyperoxia,C0242966,C0242706,1
Systemic Inflammatory Response Syndrome,"Hypothermia, Accidental",C0242966,C0274285,1
Systemic Inflammatory Response Syndrome,Morbid obesity,C0242966,C0028756,1
Systemic Inflammatory Response Syndrome,Muscle Weakness,C0242966,C0151786,1
Systemic Inflammatory Response Syndrome,Obesity,C0242966,C0028754,1
Systemic Inflammatory Response Syndrome,Weight Loss,C0242966,C1262477,1
Systemic Scleroderma,Arthralgia,C0036421,C0003862,1
Systemic Scleroderma,Colonic Inertia,C0036421,C1257861,1
Systemic Scleroderma,Diarrhea,C0036421,C0011991,1
Systemic Scleroderma,Eye Manifestations,C0036421,C0015411,1
Systemic Scleroderma,Familial Thrombotic Thrombocytopenic Purpura,C0036421,C1956258,1
Systemic Scleroderma,Heartburn,C0036421,C0018834,1
Systemic Scleroderma,Hypergammaglobulinemia,C0036421,C0020455,1
Systemic Scleroderma,Muscular Atrophy,C0036421,C0026846,1
Systemic Scleroderma,Orthopnea,C0036421,C0085619,1
Systemic Scleroderma,Proteinuria,C0036421,C0033687,1
Systemic Vasculitis,Arthralgia,C0264939,C0003862,1
Systemic Vasculitis,Central Nervous System Origin Vertigo,C0264939,C0155503,1
Systemic Vasculitis,"Deafness, Sudden",C0264939,C1148477,1
Systemic Vasculitis,Fever of Unknown Origin,C0264939,C0015970,1
Systemic Vasculitis,Hemoptysis,C0264939,C0019079,1
Systemic Vasculitis,Lassitude,C0264939,C0086525,1
Systemic Vasculitis,Lightheadedness,C0264939,C0220870,1
Systemic Vasculitis,Muscle Weakness,C0264939,C0151786,1
Systemic Vasculitis,Paresis,C0264939,C0030552,1
Systemic Vasculitis,Sensorineural Hearing Loss (disorder),C0264939,C0018784,1
T-Cell Lymphoma,Blindness both eyes NOS (disorder),C0079772,C1879328,1
T-Cell Lymphoma,Diarrhea,C0079772,C0011991,1
T-Cell Lymphoma,Exanthema,C0079772,C0015230,1
T-Cell Lymphoma,Facial paralysis,C0079772,C0015469,1
T-Cell Lymphoma,Fever,C0079772,C0015967,2
T-Cell Lymphoma,Fever of Unknown Origin,C0079772,C0015970,1
T-Cell Lymphoma,Hypergammaglobulinemia,C0079772,C0020455,1
T-Cell Lymphoma,Immune thrombocytopenic purpura,C0079772,C0398650,1
T-Cell Lymphoma,Pruritus,C0079772,C0033774,1
T-Cell Lymphoma,Purpura,C0079772,C0034150,1
T-Cell Lymphoma,Weight Loss,C0079772,C1262477,1
"T-Lymphocytopenia, Idiopathic CD4-Positive",Arthralgia,C0206744,C0003862,1
"T-Lymphocytopenia, Idiopathic CD4-Positive",Chest Pain,C0206744,C0008031,1
"T-Lymphocytopenia, Idiopathic CD4-Positive",Fever,C0206744,C0015967,1
"T-Lymphocytopenia, Idiopathic CD4-Positive",Fever of Unknown Origin,C0206744,C0015970,1
"T-Lymphocytopenia, Idiopathic CD4-Positive",Muscle Weakness,C0206744,C0151786,1
"T-Lymphocytopenia, Idiopathic CD4-Positive","Paraparesis, Cerebral",C0206744,C0278118,1
"T-Lymphocytopenia, Idiopathic CD4-Positive","Paraplegia, Cerebral",C0206744,C0278114,1
"T-Lymphocytopenia, Idiopathic CD4-Positive",Paresis,C0206744,C0030552,1
"T-Lymphocytopenia, Idiopathic CD4-Positive",Visual Impairment,C0206744,C3665347,1
TDP-43 Proteinopathies,Age-Related Memory Disorders,C2718017,C0751292,1
TDP-43 Proteinopathies,"Dysarthria, Spastic",C2718017,C0454596,1
TDP-43 Proteinopathies,"Hallucinations, Kinesthetic",C2718017,C0544668,1
TDP-43 Proteinopathies,Hemisensory Neglect,C2718017,C0751418,1
TDP-43 Proteinopathies,Primary Progressive Aphasia (disorder),C2718017,C0282513,1
TDP-43 Proteinopathies,Primary Progressive Nonfluent Aphasia,C2718017,C0751706,1
TDP-43 Proteinopathies,Progressive supranuclear palsy,C2718017,C0038868,1
Tachyarrhythmia,Angina Pectoris,C0080203,C0002962,1
Tachyarrhythmia,"Angina Pectoris, Variant",C0080203,C0002963,1
Tachyarrhythmia,Fetal Distress,C0080203,C0015930,1
Tachyarrhythmia,Flushing,C0080203,C0016382,1
Tachyarrhythmia,"Hydrops Fetalis, Non-Immune",C0080203,C0455988,1
Tachyarrhythmia,Lightheadedness,C0080203,C0220870,1
Tachyarrhythmia,Low Cardiac Output,C0080203,C0007166,1
Tachyarrhythmia,Orthopnea,C0080203,C0085619,1
Tachyarrhythmia,Presyncope,C0080203,C0700200,1
Tachyarrhythmia,"Syncope, Cerebral",C0080203,C0751721,1
"Tachycardia, Atrioventricular Nodal Reentry",Angina Pectoris,C0039232,C0002962,1
"Tachycardia, Atrioventricular Nodal Reentry",Chest Pain,C0039232,C0008031,1
"Tachycardia, Atrioventricular Nodal Reentry","Edema, Cardiac",C0039232,C0013608,1
"Tachycardia, Atrioventricular Nodal Reentry","Hydrops Fetalis, Non-Immune",C0039232,C0455988,1
"Tachycardia, Atrioventricular Nodal Reentry",Lassitude,C0039232,C0086525,1
"Tachycardia, Atrioventricular Nodal Reentry",Lightheadedness,C0039232,C0220870,1
"Tachycardia, Atrioventricular Nodal Reentry",Low Cardiac Output,C0039232,C0007166,1
"Tachycardia, Atrioventricular Nodal Reentry",Orthopnea,C0039232,C0085619,1
"Tachycardia, Atrioventricular Nodal Reentry",Presyncope,C0039232,C0700200,1
"Tachycardia, Atrioventricular Nodal Reentry","Syncope, Cerebral",C0039232,C0751721,1
"Tachycardia, Ectopic Atrial",Angina Pectoris,C0039234,C0002962,1
"Tachycardia, Ectopic Atrial",Body Weight,C0039234,C0005910,1
"Tachycardia, Ectopic Atrial",Coughing,C0039234,C0010200,1
"Tachycardia, Ectopic Atrial",Lightheadedness,C0039234,C0220870,1
"Tachycardia, Ectopic Atrial",Low Cardiac Output,C0039234,C0007166,1
"Tachycardia, Ectopic Atrial",Orthopnea,C0039234,C0085619,1
"Tachycardia, Ectopic Atrial",Polyuria,C0039234,C0032617,1
"Tachycardia, Ectopic Atrial",Presyncope,C0039234,C0700200,1
"Tachycardia, Ectopic Atrial",Todd Paralysis,C0039234,C0234544,1
"Tachycardia, Ectopic Junctional",Fetal Distress,C0039235,C0015930,1
"Tachycardia, Ectopic Junctional","Hydrops Fetalis, Non-Immune",C0039235,C0455988,1
"Tachycardia, Ectopic Junctional",Low Cardiac Output,C0039235,C0007166,1
"Tachycardia, Ectopic Junctional",Muscle Weakness,C0039235,C0151786,1
"Tachycardia, Ectopic Junctional",Vomiting,C0039235,C0042963,1
"Tachycardia, Reciprocating",Presyncope,C0242514,C0700200,1
"Tachycardia, Sinoatrial Nodal Reentry",Angina Pectoris,C0039238,C0002962,1
"Tachycardia, Sinoatrial Nodal Reentry",Presyncope,C0039238,C0700200,1
Taenia serialis Infection,"Abdomen, Acute",C5392955,C0000727,1
Taenia serialis Infection,Abdominal Pain,C5392955,C0000737,2
Taenia serialis Infection,Body Weight,C5392955,C0005910,1
Taenia serialis Infection,Colonic Inertia,C5392955,C1257861,1
Taenia serialis Infection,Diarrhea,C5392955,C0011991,1
Taenia serialis Infection,Dyspepsia,C5392955,C0013395,1
Taenia serialis Infection,"Hallucinations, Kinesthetic",C5392955,C0544668,1
Taenia serialis Infection,Nausea,C5392955,C0027497,1
Taenia serialis Infection,"Scotoma, Paracecal",C5392955,C0544679,1
Taenia serialis Infection,Weight Loss,C5392955,C1262477,1
Takotsubo Cardiomyopathy,Acute Coronary Syndrome,C1739395,C0948089,1
Takotsubo Cardiomyopathy,"Amnesia, Anterograde",C1739395,C0233795,1
Takotsubo Cardiomyopathy,Angina Pectoris,C1739395,C0002962,1
Takotsubo Cardiomyopathy,Chest Pain,C1739395,C0008031,1
Takotsubo Cardiomyopathy,"Edema, Cardiac",C1739395,C0013608,1
Takotsubo Cardiomyopathy,Lightheadedness,C1739395,C0220870,1
Takotsubo Cardiomyopathy,Myocardial Preinfarction Syndrome,C1739395,C0086666,1
Takotsubo Cardiomyopathy,Orthopnea,C1739395,C0085619,1
Takotsubo Cardiomyopathy,Presyncope,C1739395,C0700200,1
Takotsubo Cardiomyopathy,Retrograde amnesia,C1739395,C0002624,1
Talipes Calcaneovalgus,Body Weight,C0152237,C0005910,1
Talipes Calcaneovalgus,Ciliary Body Spasm,C0152237,C0235229,1
Talipes Calcaneovalgus,Metatarsalgia,C0152237,C0025587,1
Talipes Calcaneovalgus,Muscle Cramp,C0152237,C0026821,1
Talipes Calcaneovalgus,Muscle Spasticity,C0152237,C0026838,1
Talipes Calcaneovalgus,Neuralgia,C0152237,C0027796,1
Talipes Calcaneovalgus,Obesity,C0152237,C0028754,1
Talipes Calcaneovalgus,"Pain, Postoperative",C0152237,C0030201,1
Talipes Calcaneovalgus,"Pain, Splitting",C0152237,C0458257,1
Talipes Calcaneovalgus,Recurrent Low Back Pain,C0152237,C0751648,1
Tangier Disease Neuropathy,Angina Pectoris,C0751544,C0002962,1
Tangier Disease Neuropathy,Facial paralysis,C0751544,C0015469,1
Tangier Disease Neuropathy,Hypesthesia,C0751544,C0020580,1
Tangier Disease Neuropathy,Innocent Murmurs,C0751544,C0232255,1
Tangier Disease Neuropathy,Muscle Weakness,C0751544,C0151786,1
Tangier Disease Neuropathy,Muscular Atrophy,C0751544,C0026846,1
Tangier Disease Neuropathy,Obesity,C0751544,C0028754,1
Tangier Disease Neuropathy,Visual Impairment,C0751544,C3665347,1
Tarlov Cysts,Colonic Inertia,C0520720,C1257861,1
Tarlov Cysts,Dysesthesia,C0520720,C0392699,1
Tarlov Cysts,Hypesthesia,C0520720,C0020580,1
Tarlov Cysts,Muscle Weakness,C0520720,C0151786,1
Tarlov Cysts,"Pain, Postoperative",C0520720,C0030201,1
Tarlov Cysts,"Paraparesis, Cerebral",C0520720,C0278118,1
Tarlov Cysts,Recurrent Low Back Pain,C0520720,C0751648,1
Tarlov Cysts,Sciatica,C0520720,C0036396,1
Tarlov Cysts,Urinary Stress Incontinence,C0520720,C0042025,1
Tarlov Cysts,Vertebrogenic Pain Syndrome,C0520720,C0750949,1
Tarsal Tunnel Syndrome,Dysesthesia,C0039319,C0392699,1
Tarsal Tunnel Syndrome,Muscle Spasticity,C0039319,C0026838,1
Tarsal Tunnel Syndrome,Muscle Weakness,C0039319,C0151786,1
Tarsal Tunnel Syndrome,Neuralgia,C0039319,C0027796,1
Tarsal Tunnel Syndrome,"Pain, Intractable",C0039319,C0030200,1
Tarsal Tunnel Syndrome,"Pain, Splitting",C0039319,C0458257,1
Tarsal Tunnel Syndrome,"Paraplegia, Cerebral",C0039319,C0278114,1
Tarsal Tunnel Syndrome,Paresis,C0039319,C0030552,1
Tarsal Tunnel Syndrome,Piriformis Muscle Syndrome,C0039319,C0458224,1
Tarsal Tunnel Syndrome,Vertebrogenic Pain Syndrome,C0039319,C0750949,1
Taste Dysfunction,Anorexia,C5392959,C0003123,1
Taste Dysfunction,Bulimia,C5392959,C0006370,1
Taste Dysfunction,Dysgeusia,C5392959,C0013378,1
Taste Dysfunction,Facial paralysis,C5392959,C0015469,1
Taste Dysfunction,Halitosis,C5392959,C0018520,1
Taste Dysfunction,Hypesthesia,C5392959,C0020580,1
Taste Dysfunction,Morbid obesity,C5392959,C0028756,1
Taste Dysfunction,Olfaction Disorders,C5392959,C0553757,1
Taste Dysfunction,Psychophysiologic Disorders,C5392959,C0033931,1
Taste Dysfunction,Taste-Blindness,C5392959,C0278155,1
Taste-Blindness,"Ataxia, Appendicular",C0278155,C0750937,1
Taste-Blindness,Bulimia,C0278155,C0006370,1
Taste-Blindness,Dysgeusia,C0278155,C0013378,1
Taste-Blindness,Facial paralysis,C0278155,C0015469,1
Taste-Blindness,"Hearing Loss, Central",C0278155,C0018776,1
Taste-Blindness,Hypesthesia,C0278155,C0020580,1
Taste-Blindness,Olfaction Disorders,C0278155,C0553757,1
Taste-Blindness,Snoring,C0278155,C0037384,1
Taste-Blindness,Taste Dysfunction,C0278155,C5392959,1
Taste-Blindness,Weight Loss,C0278155,C1262477,1
Tauopathies,Age-Related Memory Disorders,C0949664,C0751292,1
Tauopathies,Alien Hand Syndrome,C0949664,C2717760,1
Tauopathies,"Aphasia, Semantic",C0949664,C0234482,1
Tauopathies,"Apraxia, Articulatory",C0949664,C3495144,1
Tauopathies,Bradykinesia,C0949664,C0233565,1
Tauopathies,Dystonia,C0949664,C0013421,1
Tauopathies,"Gait, Festinating",C0949664,C0231694,1
Tauopathies,Pinprick Sensation Diminished,C0949664,C0752257,1
Tauopathies,Primary Progressive Aphasia (disorder),C0949664,C0282513,1
Tauopathies,Progressive supranuclear palsy,C0949664,C0038868,1
Taussig-Bing Anomaly,Innocent Murmurs,C1956413,C0232255,1
Taussig-Bing Anomaly,Neurogenic Hoarseness,C1956413,C0751201,1
Taussig-Bing Anomaly,Orthopnea,C1956413,C0085619,1
Taussig-Bing Anomaly,"Pain, Postoperative",C1956413,C0030201,1
Taussig-Bing Anomaly,Recurrent Laryngeal Nerve Paralysis,C1956413,C0542142,1
"Teeth, Endodontically-Treated",Dysesthesia,C0376699,C0392699,1
"Teeth, Endodontically-Treated","Pain, Intractable",C0376699,C0030200,1
"Teeth, Endodontically-Treated","Pain, Postoperative",C0376699,C0030201,1
"Teeth, Endodontically-Treated",Toothache,C0376699,C0040460,1
Temporal Arteritis,Blindness both eyes NOS (disorder),C1956391,C1879328,1
Temporal Arteritis,Coughing,C1956391,C0010200,1
Temporal Arteritis,"Diplopia, Refractive",C1956391,C0271186,2
Temporal Arteritis,Eye Manifestations,C1956391,C0015411,1
Temporal Arteritis,Fever of Unknown Origin,C1956391,C0015970,1
Temporal Arteritis,Hemicrania,C1956391,C0877781,2
Temporal Arteritis,Intermittent Claudication,C1956391,C0021775,1
Temporal Arteritis,Internal Ophthalmoplegia,C1956391,C0339693,1
Temporal Arteritis,Neuralgic Facial Pain,C1956391,C0751135,1
Temporal Arteritis,Visual Impairment,C1956391,C3665347,1
Temporomandibular Joint Disorders,Arthralgia,C0039494,C0003862,1
Temporomandibular Joint Disorders,Earache,C0039494,C0013456,1
Temporomandibular Joint Disorders,Hemicrania,C0039494,C0877781,1
Temporomandibular Joint Disorders,Lockjaw,C0039494,C0343495,1
Temporomandibular Joint Disorders,Neck Pain,C0039494,C0007859,1
Temporomandibular Joint Disorders,Neuralgic Facial Pain,C0039494,C0751135,1
Temporomandibular Joint Disorders,"Pain, Splitting",C0039494,C0458257,1
Temporomandibular Joint Disorders,Psychophysiologic Disorders,C0039494,C0033931,1
Temporomandibular Joint Disorders,"Tinnitus, Tensor Palatini Induced",C0039494,C0751557,1
Temporomandibular Joint Disorders,Toothache,C0039494,C0040460,1
Temporomandibular Joint Dysfunction Syndrome,Ciliary Body Spasm,C0039496,C0235229,1
Temporomandibular Joint Dysfunction Syndrome,Earache,C0039496,C0013456,1
Temporomandibular Joint Dysfunction Syndrome,Hemicrania,C0039496,C0877781,1
Temporomandibular Joint Dysfunction Syndrome,Lockjaw,C0039496,C0343495,1
Temporomandibular Joint Dysfunction Syndrome,Muscle Cramp,C0039496,C0026821,1
Temporomandibular Joint Dysfunction Syndrome,Neuralgic Facial Pain,C0039496,C0751135,1
Temporomandibular Joint Dysfunction Syndrome,"Pain, Splitting",C0039496,C0458257,1
Temporomandibular Joint Dysfunction Syndrome,Psychophysiologic Disorders,C0039496,C0033931,1
Temporomandibular Joint Dysfunction Syndrome,"Tinnitus, Tensor Palatini Induced",C0039496,C0751557,1
Temporomandibular Joint Dysfunction Syndrome,Toothache,C0039496,C0040460,1
Tendinopathy,Arthralgia,C1568272,C0003862,1
Tendinopathy,Edema,C1568272,C0013604,1
Tendinopathy,"Hearing Loss, Functional",C1568272,C0018779,1
Tendinopathy,Neck Pain,C1568272,C0007859,1
