MeSH Term,MeSH Code
"Ectodermal Dysplasia 3, Anhidrotic",D053359
"Fatigue Syndrome, Chronic",D015673
Hyperlipoproteinemias,D006951
Hermanski-Pudlak Syndrome,D022861
Gingival Hyperplasia,D005885
Subclavian Steal Syndrome,D013349
Fibrocystic Breast Disease,D005348
Jet Lag Syndrome,D020179
Acantholysis,D000051
"Neoplasm, Residual",D018365
"Mixed Tumor, Mesodermal",D018199
Mitochondrial Myopathies,D017240
"Lupus Erythematosus, Discoid",D008179
Splenic Infarction,D013159
Myelodysplastic Syndromes,D009190
"Pneumonia, Bacterial",D018410
"Skin Diseases, Infectious",D012874
Anxiety Disorders,D001008
Hypovolemia,D020896
Factor XIII Deficiency,D005177
Biotinidase Deficiency,D028921
Hypopharyngeal Neoplasms,D007012
Nose Neoplasms,D009669
"Cholestasis, Extrahepatic",D001651
Abducens Nerve Diseases,D020434
Zollinger-Ellison Syndrome,D015043
Glucosephosphate Dehydrogenase Deficiency,D005955
Lung Neoplasms,D008175
Vascular Neoplasms,D019043
Anaphylaxis,D000707
Mobius Syndrome,D020331
"Hernia, Femoral",D006550
Intestinal Obstruction,D007415
Feline Infectious Peritonitis,D016766
Herpes Zoster Ophthalmicus,D006563
Vibrio Infections,D014735
Paratuberculosis,D010283
Ventricular Fibrillation,D014693
Posterior Tibial Tendon Dysfunction,D037081
Polymyalgia Rheumatica,D011111
Foot Diseases,D005534
Peliosis Hepatis,D010382
Pancreatic Diseases,D010182
"Hypoxia, Brain",D002534
Penile Diseases,D010409
Consciousness Disorders,D003244
"Leukodystrophy, Globoid Cell",D007965
Fucosidosis,D005645
"Carcinoma, Bronchogenic",D002283
Hyperargininemia,D020162
Hematologic Diseases,D006402
Rothmund-Thomson Syndrome,D011038
Hereditary Sensory and Motor Neuropathy,D015417
Hirsutism,D006628
"Hearing Loss, Bilateral",D006312
Abscess,D000038
Hypoparathyroidism,D007011
REM Sleep Parasomnias,D020923
Gynatresia,D006175
Metatarsalgia,D037061
Pain,D010146
Ear Diseases,D004427
Coronary Thrombosis,D003328
"Hearing Loss, Sudden",D003639
"Diabetes Mellitus, Type 1",D003922
Lymphangioma,D008202
Tobacco Use Disorder,D014029
Periodontal Attachment Loss,D017622
Macular Degeneration,D008268
Carcinosarcoma,D002296
"Encephalomyelitis, Western Equine",D020241
Poisoning,D011041
Disease Susceptibility,D004198
"Tooth Eruption, Ectopic",D014079
Chromoblastomycosis,D002862
Genomic Instability,D042822
"Scleroderma, Systemic",D012595
"Pneumonia, Pneumocystis",D011020
Classical Swine Fever,D006691
Headache,D006261
Facial Paralysis,D005158
Toxocariasis,D014120
"Lymphoma, Large-Cell, Immunoblastic",D016400
Cerebrovascular Trauma,D020214
Cryptosporidiosis,D003457
Spermatic Cord Torsion,D013086
Iridocorneal Endothelial Syndrome,D057129
Chronobiology Disorders,D021081
Chills,D023341
Trigeminal Nerve Diseases,D020433
Dependent Personality Disorder,D003859
Female Athlete Triad Syndrome,D053716
Arteriosclerosis Obliterans,D001162
Velopharyngeal Insufficiency,D014681
Magnesium Deficiency,D008275
Myofibroma,D047708
Foot Deformities,D005530
"Encephalopathy, Bovine Spongiform",D016643
Sulfhemoglobinemia,D013436
"Tuberculosis, Splenic",D014400
"Leukoencephalopathy, Progressive Multifocal",D007968
"Toxoplasmosis, Congenital",D014125
Hyperlipoproteinemia Type I,D008072
Parasystole,D017574
Contusions,D003288
"Eye Infections, Bacterial",D015818
Hemoglobin C Disease,D006445
"Hand, Foot and Mouth Disease",D006232
"Eye Diseases, Hereditary",D015785
Reactive Attachment Disorder,D019962
Cracked Tooth Syndrome,D003387
Stereotypic Movement Disorder,D019956
Macular Edema,D008269
"Fasciitis, Necrotizing",D019115
Borna Disease,D001890
"Eye Infections, Viral",D015828
Lightning Injuries,D015168
Angiomatosis,D000798
Loiasis,D008118
Kaposi Varicelliform Eruption,D007617
Hyperbilirubinemia,D006932
Flavivirus Infections,D018177
Mouth Neoplasms,D009062
"Epilepsy, Temporal Lobe",D004833
Dermatofibrosarcoma,D018223
Spina Bifida Cystica,D016137
Rheumatic Diseases,D012216
"Hyalinosis, Systemic",D057770
"Tooth, Supernumerary",D014096
Neuromuscular Junction Diseases,D020511
Tuberculoma,D014375
Sclerosis,D012598
Tongue Neoplasms,D014062
Kwashiorkor,D007732
Cerebral Ventriculitis,D058565
Contracture,D003286
Severe Combined Immunodeficiency,D016511
Intracranial Aneurysm,D002532
Hyperventilation,D006985
Inferior Wall Myocardial Infarction,D056989
Thyroid Crisis,D013958
Delirium,D003693
"Sleep Apnea, Obstructive",D020181
Hematoma,D006406
Spondylolysis,D013169
Superior Mesenteric Artery Syndrome,D013478
Paresthesia,D010292
"Vomiting, Anticipatory",D014840
Hyperparathyroidism,D006961
"Cystadenocarcinoma, Papillary",D018283
"Hearing Loss, Conductive",D006314
Fructose Intolerance,D005633
Vaginismus,D052065
Glycogen Storage Disease,D006008
Upper Extremity Deep Vein Thrombosis,D056824
Kidney Calculi,D007669
Nocardia Infections,D009617
Adjustment Disorders,D000275
Reflex Sympathetic Dystrophy,D012019
Incontinentia Pigmenti,D007184
Rare Diseases,D035583
"Bone Cysts, Aneurysmal",D017824
Primary Dysautonomias,D054969
"Hemorrhagic Fever, Crimean",D006479
Psychotic Disorders,D011618
Nephrogenic Fibrosing Dermopathy,D054989
Jaw Cysts,D007570
Helicobacter Infections,D016481
Discitis,D015299
Cerebral Infarction,D002544
"Conjunctivitis, Bacterial",D003234
Paraparesis,D020335
"Keratitis, Herpetic",D016849
"Hemoglobinuria, Paroxysmal",D006457
"Histiocytosis, Sinus",D015618
Hypocalcemia,D006996
"Mercury Poisoning, Nervous System",D020262
Pilonidal Sinus,D010864
"Neoplasms, Germ Cell and Embryonal",D009373
Pressure Ulcer,D003668
Leydig Cell Tumor,D007984
Postphlebitic Syndrome,D011186
Chorea Gravidarum,D020150
Retinal Diseases,D012164
Papilloma,D010212
Factor V Deficiency,D005166
Aicardi Syndrome,D058540
Pallister-Hall Syndrome,D054975
Giant Cell Tumor of Bone,D018212
Pachyonychia Congenita,D053549
Alcoholic Intoxication,D000435
"Granulomatosis, Orofacial",D051261
Nasopharyngeal Neoplasms,D009303
Parotid Diseases,D010305
Avian Leukosis,D001353
Dupuytren Contracture,D004387
"Ophthalmoplegia, Chronic Progressive External",D017246
"Osteoporosis, Postmenopausal",D015663
Alzheimer Disease,D000544
Decompression Sickness,D003665
Critical Illness,D016638
"Angioedemas, Hereditary",D054179
Sarcoma 180,D012510
Azoospermia,D053713
Mycetoma,D008271
Cystinosis,D003554
Muscle Spasticity,D009128
Pulmonary Alveolar Proteinosis,D011649
Cyanosis,D003490
Trachoma,D014141
Neuromuscular Diseases,D009468
Optic Nerve Diseases,D009901
Hypobetalipoproteinemias,D006995
"Ophthalmia, Sympathetic",D009879
Nephrotic Syndrome,D009404
Status Asthmaticus,D013224
Nocturnal Myoclonus Syndrome,D020189
"Histiocytosis, Langerhans-Cell",D006646
Agricultural Workers' Diseases,D000382
Liver Failure,D017093
Pituitary Diseases,D010900
Lithiasis,D020347
Carotid Artery Thrombosis,D002341
Photosensitivity Disorders,D010787
Phantom Limb,D010591
Border Disease,D001882
Craniomandibular Disorders,D017271
Hypoalbuminemia,D034141
"Alkalosis, Respiratory",D000472
"Brain Diseases, Metabolic",D001928
Overbite,D057887
Pyuria,D011776
Pyomyositis,D052880
"Encephalomyelitis, Acute Disseminated",D004673
Rat-Bite Fever,D011906
Dwarfism,D004392
Ileal Neoplasms,D007078
Skin Neoplasms,D012878
Cystitis,D003556
Parathyroid Diseases,D010279
Meigs Syndrome,D008539
"Adenoma, Islet Cell",D007516
Angiodysplasia,D016888
"Hand Deformities, Acquired",D006227
"Sarcoma, Small Cell",D018228
Gonadoblastoma,D018238
Water Intoxication,D014869
Landau-Kleffner Syndrome,D018887
Marburg Virus Disease,D008379
Hypokinesia,D018476
"Tuberculosis, Osteoarticular",D014394
DiGeorge Syndrome,D004062
Amphetamine-Related Disorders,D019969
Pneumatosis Cystoides Intestinalis,D011006
Factor XI Deficiency,D005173
Ureterolithiasis,D053039
Lymphomatoid Papulosis,D017731
Sadism,D012448
"Panniculitis, Nodular Nonsuppurative",D010201
"Tuberculosis, Meningeal",D014390
Mucopolysaccharidosis III,D009084
Aniridia,D015783
Colitis,D003092
Pharyngeal Diseases,D010608
"Melanoma, Experimental",D008546
"Toxoplasmosis, Ocular",D014126
Genetic Predisposition to Disease,D020022
Sweet Syndrome,D016463
Tetrasomy,D058670
Synostosis,D013580
Subarachnoid Hemorrhage,D013345
Uveal Neoplasms,D014604
Glycogen Storage Disease Type VIII,D006015
"Cystadenoma, Papillary",D018292
Ectromelia,D004480
Berylliosis,D001607
Cyclosporiasis,D021866
"Carcinoma, Adenosquamous",D018196
"Sexually Transmitted Diseases, Viral",D015229
Circoviridae Infections,D018173
"Myositis, Inclusion Body",D018979
Balanitis,D001446
Thyroiditis,D013966
"Polycystic Kidney, Autosomal Recessive",D017044
"Plasma Cell Granuloma, Pulmonary",D016726
Soft Tissue Neoplasms,D012983
Parasitemia,D018512
Hematometra,D006409
Retropneumoperitoneum,D012188
"Anemia, Macrocytic",D000748
Motion Sickness,D009041
Myoma,D009214
Glomus Jugulare Tumor,D005925
Staphylococcal Food Poisoning,D013202
Osteomyelitis,D010019
Otitis,D010031
Tracheal Neoplasms,D014134
Asphyxia Neonatorum,D001238
"Hematoma, Subdural, Intracranial",D046648
"Echinococcosis, Hepatic",D004444
"Neuritis, Autoimmune, Experimental",D009444
Prosopagnosia,D020238
"Vasculitis, Central Nervous System",D020293
Near Drowning,D015701
Bronchial Hyperreactivity,D016535
Pulmonary Valve Insufficiency,D011665
"Pneumonia, Progressive Interstitial, of Sheep",D011021
Mandibular Diseases,D008336
"Abortion, Spontaneous",D000022
"Leukemia, Neutrophilic, Chronic",D015467
"Parkinson Disease, Secondary",D010302
"Neoplasms, Post-Traumatic",D017169
Lymphatic Diseases,D008206
Hyperamylasemia,D034321
"Tachycardia, Ventricular",D017180
Prehypertension,D058246
Furunculosis,D005667
Maxillary Sinusitis,D015523
Histiocytosis,D015614
Massive Hepatic Necrosis,D047508
"Diabetes Mellitus, Type 2",D003924
"Glomerulonephritis, IGA",D005922
Trisomy,D014314
Porcine Reproductive and Respiratory Syndrome,D019318
"Leukoplakia, Oral",D007972
Hyperinsulinism,D006946
Cerebellar Ataxia,D002524
"Abortion, Missed",D000030
Acrocephalosyndactylia,D000168
Pulmonary Sclerosing Hemangioma,D047868
"Paraparesis, Spastic",D020336
"Anxiety, Separation",D001010
Cryptococcosis,D003453
Caliciviridae Infections,D017250
Failure to Thrive,D005183
Nasal Polyps,D009298
Hyperhomocysteinemia,D020138
Exophthalmos,D005094
Myocardial Ischemia,D017202
Thoracic Neoplasms,D013899
Infratentorial Neoplasms,D015192
Reticulocytosis,D045262
Lipoid Proteinosis of Urbach and Wiethe,D008065
"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",D020277
Conjunctivitis,D003231
"Sexually Transmitted Diseases, Bacterial",D015231
Optic Nerve Injuries,D020221
"Larva Migrans, Visceral",D007816
Retinoblastoma,D012175
Varicose Ulcer,D014647
Cross Infection,D003428
"Hypertension, Pregnancy-Induced",D046110
Periventricular Nodular Heterotopia,D054091
Joint Diseases,D007592
Persistent Hyperplastic Primary Vitreous,D054514
Diffuse Axonal Injury,D020833
"Fractures, Bone",D050723
Lung Diseases,D008171
"Purpura, Thrombocytopenic, Idiopathic",D016553
Paraneoplastic Cerebellar Degeneration,D020362
"Pain Insensitivity, Congenital",D000699
Flatulence,D005414
"Dendritic Cell Sarcoma, Follicular",D054740
"Malocclusion, Angle Class II",D008312
"Paget Disease, Extramammary",D010145
Choledocholithiasis,D042883
Holoprosencephaly,D016142
"Rubella Syndrome, Congenital",D012410
Adenomatoid Tumor,D018254
"Genetic Diseases, Inborn",D030342
Gallbladder Diseases,D005705
"Tooth, Unerupted",D014097
Stomach Ulcer,D013276
Brugada Syndrome,D053840
Aneurysm,D000783
Hemosiderosis,D006486
Craniosynostoses,D003398
Long QT Syndrome,D008133
"Lymphoma, Large B-Cell, Diffuse",D016403
Articulation Disorders,D001184
Iatrogenic Disease,D007049
"Neoplasms, Vascular Tissue",D009383
Bezoars,D001630
Trichostrongyloidiasis,D014252
Salivary Duct Calculi,D012465
Tularemia,D014406
Maxillary Neoplasms,D008441
Bone Marrow Diseases,D001855
Jaw Fractures,D007572
Child Behavior Disorders,D002653
Lactation Disorders,D007775
"Lupus Erythematosus, Cutaneous",D008178
"Bronchiolitis, Viral",D001990
Sciatica,D012585
Cerebrovascular Disorders,D002561
Cytomegalovirus Retinitis,D017726
Klippel-Feil Syndrome,D007714
Urinary Retention,D016055
Pseudoxanthoma Elasticum,D011561
"Hearing Loss, Mixed Conductive-Sensorineural",D046089
Choroiditis,D002833
"Hematoma, Epidural, Spinal",D046748
Vaccinia,D014615
Malaria,D008288
Endolymphatic Hydrops,D018159
Hypoalphalipoproteinemias,D052456
Adenomatous Polyps,D018256
Anisometropia,D015858
"Fibroma, Desmoplastic",D018220
Hemoperitoneum,D006465
Levocardia,D007979
Hyperaldosteronism,D006929
Anus Neoplasms,D001005
Skin Abnormalities,D012868
Dermatomyositis,D003882
"Encephalomyelitis, Eastern Equine",D020242
"Sleep Apnea, Central",D020182
Chilblains,D002647
Persistent Fetal Circulation Syndrome,D010547
Diarrhea,D003967
"Bone Diseases, Developmental",D001848
Fuchs' Endothelial Dystrophy,D005642
Agoraphobia,D000379
Conduct Disorder,D019955
Burkitt Lymphoma,D002051
"Aortic Stenosis, Supravalvular",D021921
Amenorrhea,D000568
Biliary Dyskinesia,D001657
"Gastritis, Hypertrophic",D005758
Endometrial Hyperplasia,D004714
Short Bowel Syndrome,D012778
"Diabetes Insipidus, Neurogenic",D020790
Mallory-Weiss Syndrome,D008309
Choriocarcinoma,D002822
Tooth Injuries,D018677
Oral Ulcer,D019226
Togaviridae Infections,D014036
Sphincter of Oddi Dysfunction,D046628
Arthrogryposis,D001176
"Leishmaniasis, Mucocutaneous",D007897
"Pregnancy Complications, Cardiovascular",D011249
Cheilitis,D002613
Muscle Weakness,D018908
Thanatophoric Dysplasia,D013796
Deafness,D003638
"Skull Fracture, Depressed",D020204
"Cerebral Hemorrhage, Traumatic",D020202
"Pregnancy, Ectopic",D011271
Cleft Lip,D002971
Constipation,D003248
Sarcoidosis,D012507
Herpesviridae Infections,D006566
"Actinomycosis, Cervicofacial",D000197
Hemospermia,D051516
Dental Pulp Exposure,D003789
Ascites,D001201
Growth Disorders,D006130
Guillain-Barre Syndrome,D020275
Hepatolenticular Degeneration,D006527
"Lung Diseases, Fungal",D008172
Drowning,D004332
"Strongyle Infections, Equine",D013319
Suppuration,D013492
"Anemia, Hemolytic",D000743
Mucositis,D052016
Pseudarthrosis,D011542
Yin Deficiency,D016710
Intestinal Perforation,D007416
Epidermolysis Bullosa Dystrophica,D016108
Cerebrospinal Fluid Rhinorrhea,D002559
Ovarian Neoplasms,D010051
Siderosis,D012806
Nematode Infections,D009349
Colonic Polyps,D003111
"Blood Loss, Surgical",D016063
Neurothekeoma,D018321
Cutis Laxa,D003483
"Nose Deformities, Acquired",D009667
Cicatrix,D002921
"Syphilis, Congenital",D013590
"Enterocolitis, Necrotizing",D020345
Vitamin K Deficiency,D014813
Sleep-Wake Transition Disorders,D020922
De Quervain Disease,D053684
"Ichthyosis, Lamellar",D017490
Fetal Nutrition Disorders,D048070
Trigeminal Autonomic Cephalalgias,D051303
Fever of Unknown Origin,D005335
"Encephalitis, Herpes Simplex",D020803
"Retinal Necrosis Syndrome, Acute",D015882
"Stomatitis, Herpetic",D013283
Language Disorders,D007806
Peritoneal Diseases,D010532
Dermatomycoses,D003881
Sex Chromosome Aberrations,D012729
"Fractures, Ununited",D005599
Ureteral Calculi,D014514
Glioblastoma,D005909
Intracranial Hemorrhages,D020300
Acne Keloid,D000153
Root Resorption,D012391
Bronchial Fistula,D001983
"Schizophrenia, Paranoid",D012563
"Tuberculosis, Pulmonary",D014397
Pharyngeal Neoplasms,D010610
Coronary Stenosis,D023921
"Spasms, Infantile",D013036
Respiratory Sounds,D012135
"Arrhythmia, Sinus",D001146
Fecal Impaction,D005244
Hepatitis,D006505
Colorado Tick Fever,D003121
Dystonic Disorders,D020821
Ichthyosis Vulgaris,D016112
"Tuberculosis, Ocular",D014392
Synovitis,D013585
Chancroid,D002602
"Carcinoma, Papillary, Follicular",D018265
Salivary Gland Fistula,D012467
"Poliomyelitis, Bulbar",D011052
Diurnal Enuresis,D053207
Dizziness,D004244
Necatoriasis,D009332
"Muscular Atrophy, Spinal",D009134
Mucormycosis,D009091
"Hip Dislocation, Congenital",D006618
"Mucinosis, Follicular",D000507
Peptic Ulcer Perforation,D010439
Acrocallosal Syndrome,D055673
"Glaucoma, Open-Angle",D005902
Ataxia Telangiectasia,D001260
Disorders of Excessive Somnolence,D006970
Muscular Dystrophies,D009136
Subacute Combined Degeneration,D052879
Isaacs Syndrome,D020386
Brain Injuries,D001930
Subphrenic Abscess,D013369
Erectile Dysfunction,D007172
Channelopathies,D053447
Tick-Borne Diseases,D017282
Spinal Cord Vascular Diseases,D020758
"Diabetes Insipidus, Nephrogenic",D018500
"Ductus Arteriosus, Patent",D004374
"Nephrosis, Lipoid",D009402
Cushing Syndrome,D003480
Phyllodes Tumor,D003557
alpha-Thalassemia,D017085
"Edema, Cardiac",D004489
Fournier Gangrene,D018934
Hemolysis,D006461
Glioma,D005910
"Cicatrix, Hypertrophic",D017439
Raynaud Disease,D011928
"Sweating, Gustatory",D013547
"Amnesia, Retrograde",D000648
"Lupus Vasculitis, Central Nervous System",D020945
"Candidiasis, Cutaneous",D002179
Urinary Bladder Neoplasms,D001749
Hartnup Disease,D006250
Duodenal Obstruction,D004380
Werner Syndrome,D014898
Optic Atrophy,D009896
Hydropneumothorax,D006872
Onchocerciasis,D009855
Gastrinoma,D015408
Optic Nerve Glioma,D020339
Hyperkinesis,D006948
Campylobacter Infections,D002169
Bronchopulmonary Dysplasia,D001997
"Alcohol-Induced Disorders, Nervous System",D020268
Uremia,D014511
Ciguatera Poisoning,D036841
Venous Insufficiency,D014689
Spinal Dysraphism,D016135
Thalamic Diseases,D013786
Splenomegaly,D013163
Neisseriaceae Infections,D016870
Pneumothorax,D011030
Mitochondrial Encephalomyopathies,D017237
"Enterocolitis, Pseudomembranous",D004761
"Subarachnoid Hemorrhage, Traumatic",D020206
Vulvar Lichen Sclerosus,D007724
Entropion,D004774
Myelitis,D009187
Fibrosis,D005355
Causalgia,D002422
Melanosis,D008548
"Nails, Ingrown",D009263
Herpes Zoster,D006562
Space Motion Sickness,D018489
Schistosomiasis japonica,D012554
"Carcinoma, Lobular",D018275
Mucolipidoses,D009081
Olfactory Nerve Diseases,D020431
Pulmonary Fibrosis,D011658
"Infant, Newborn, Diseases",D007232
Bites and Stings,D001733
Pemphigus,D010392
Maxillary Sinus Neoplasms,D008444
"Chondrodysplasia Punctata, Rhizomelic",D018902
Parametritis,D010249
Jervell-Lange Nielsen Syndrome,D029593
TDP-43 Proteinopathies,D057177
"Psychoses, Alcoholic",D011604
"Diverticulosis, Colonic",D043963
Amaurosis Fugax,D020757
"Hemorrhagic Fever, American",D006478
Endometriosis,D004715
Birth Injuries,D001720
Abdominal Abscess,D018784
"Schizophrenia, Catatonic",D012560
Rhinosporidiosis,D012227
Nut Hypersensitivity,D021184
Lichen Nitidus,D017513
"Carcinoma, Small Cell",D018288
Lupus Nephritis,D008181
Congenital Disorders of Glycosylation,D018981
Carbamoyl-Phosphate Synthase I Deficiency Disease,D020165
"Lung Diseases, Obstructive",D008173
Pruritus Ani,D011538
Gastroparesis,D018589
"Lipodystrophy, Familial Partial",D052496
Empty Sella Syndrome,D004652
Hypotension,D007022
Sarcopenia,D055948
Lemierre Syndrome,D057831
"Adenoma, Villous",D018253
Paraneoplastic Syndromes,D010257
"Lymphoma, Large-Cell, Anaplastic",D017728
Neuroschistosomiasis,D020818
Gonadal Dysgenesis,D006059
Ependymoma,D004806
Mucinoses,D017520
Acanthosis Nigricans,D000052
Burkholderia Infections,D019121
Flavobacteriaceae Infections,D045826
Leiomyoma,D007889
Adrenal Gland Neoplasms,D000310
Mevalonate Kinase Deficiency,D054078
"Leukemia, Experimental",D007942
Jejunal Neoplasms,D007580
Adrenocortical Carcinoma,D018268
Ovarian Hyperstimulation Syndrome,D016471
"Encephalomyelitis, Autoimmune, Experimental",D004681
Hemifacial Spasm,D019569
Camurati-Engelmann Syndrome,D003966
Spinal Diseases,D013122
Retinal Degeneration,D012162
Bronchial Neoplasms,D001984
Parotitis,D010309
Hypertelorism,D006972
Brain Abscess,D001922
"Hearing Loss, Functional",D006315
"Wounds, Penetrating",D014950
Cardiomyopathies,D009202
Hemolytic-Uremic Syndrome,D006463
Arenaviridae Infections,D001117
Oligohydramnios,D016104
"Liver Abscess, Pyogenic",D046290
Amyloidosis,D000686
"Chondrosarcoma, Mesenchymal",D018211
Blepharophimosis,D016569
Hyperammonemia,D022124
Urinary Bladder Calculi,D001744
"Hypotension, Orthostatic",D007024
"Epilepsy, Generalized",D004829
Abducens Nerve Injury,D020222
LEOPARD Syndrome,D044542
Urethral Neoplasms,D014523
"Dyspnea, Paroxysmal",D004418
Ecthyma,D004473
Pemphigoid Gestationis,D006559
Thymus Neoplasms,D013953
Enchondromatosis,D004687
Cecal Neoplasms,D002430
Rubinstein-Taybi Syndrome,D012415
Arachnodactyly,D054119
Giardiasis,D005873
Delayed Graft Function,D051799
Adamantinoma,D050398
"Malaria, Falciparum",D016778
Nerve Sheath Neoplasms,D018317
"Leukemia, Monocytic, Acute",D007948
Hepatitis B,D006509
Hematuria,D006417
Mucopolysaccharidosis I,D008059
"Echinococcosis, Pulmonary",D004445
Mediastinitis,D008480
Coronary Restenosis,D023903
Tricuspid Valve Insufficiency,D014262
Acinetobacter Infections,D000151
Choroid Diseases,D015862
Adrenal Rest Tumor,D000314
Frasier Syndrome,D052159
Intestinal Volvulus,D045822
Myopia,D009216
"Truncus Arteriosus, Persistent",D014339
Skull Neoplasms,D012888
"Mastocytosis, Cutaneous",D034701
Malignant Atrophic Papulosis,D054853
Xanthomatosis,D014973
Stomach Diseases,D013272
Isosporiasis,D021865
Mast-Cell Sarcoma,D012515
Mongolian Spot,D049328
"Epilepsy, Partial, Motor",D020938
Ganglioneuroma,D005729
Microvascular Angina,D017566
Attention Deficit and Disruptive Behavior Disorders,D019958
"Scleroderma, Localized",D012594
Brain Stem Infarctions,D020526
Chancre,D002601
Megacolon,D008531
Neurogenic Bowel,D055496
Hip Fractures,D006620
"Lymphoma, Primary Cutaneous Anaplastic Large Cell",D054446
Epilepsy,D004827
Liver Abscess,D008100
Polycystic Kidney Diseases,D007690
Zoster Sine Herpete,D031368
Pituitary Apoplexy,D010899
Pulmonary Heart Disease,D011660
"Pre-Excitation, Mahaim-Type",D011227
Hemianopsia,D006423
Mycobacterium Infections,D009164
"Hyperoxaluria, Primary",D006960
Bacteroidaceae Infections,D016866
Toxemia,D014115
AIDS Dementia Complex,D015526
"Paraganglioma, Extra-Adrenal",D010236
"Carotid Artery, Internal, Dissection",D020215
Orbital Diseases,D009916
Perivascular Epithelioid Cell Neoplasms,D054973
"Hernia, Abdominal",D046449
Neuroma,D009463
Melioidosis,D008554
Polycystic Ovary Syndrome,D011085
Roseolovirus Infections,D019349
"Pneumonia, Lipid",D011017
Sensation Disorders,D012678
Ainhum,D000387
Peste-des-Petits-Ruminants,D029021
Median Neuropathy,D020423
MPTP Poisoning,D020267
Salivary Gland Calculi,D015494
Acro-Osteolysis,D030981
Malformations of Cortical Development,D054220
Alcohol-Related Disorders,D019973
Tumor Lysis Syndrome,D015275
Mesenteric Lymphadenitis,D008640
Trichinellosis,D014235
Proctitis,D011349
Shoulder Pain,D020069
Zygomycosis,D020096
Ventricular Premature Complexes,D018879
Asphyxia,D001237
"Muscular Dystrophy, Emery-Dreifuss",D020389
"Liver Abscess, Amebic",D008101
"Carcinoma, Basal Cell",D002280
Double Outlet Right Ventricle,D004310
"Nystagmus, Congenital",D020417
Appendiceal Neoplasms,D001063
Malocclusion,D008310
"Tachycardia, Ectopic Atrial",D013612
Vitamin B Deficiency,D014804
Myokymia,D020385
Hypertrichosis,D006983
"Glaucoma, Neovascular",D015355
Erdheim-Chester Disease,D031249
Bernard-Soulier Syndrome,D001606
Liposarcoma,D008080
"Joint Deformities, Acquired",D016916
"Epilepsies, Partial",D004828
Aortic Coarctation,D001017
Vascular Headaches,D014653
"Mixed Tumor, Malignant",D018198
Labyrinth Diseases,D007759
"Gonadal Dysgenesis, 46,XX",D023961
Henipavirus Infections,D045464
Hyperesthesia,D006941
Herpes Genitalis,D006558
Vagus Nerve Diseases,D020421
Kyphosis,D007738
Fat Necrosis,D005218
Aerophagy,D000334
"Diverticulitis, Colonic",D004239
"Myopathies, Nemaline",D017696
"Carcinoma, Basosquamous",D002281
Shwartzman Phenomenon,D012790
"Encephalitis, Arbovirus",D004671
Paramyxoviridae Infections,D018184
"Meningitis, Cryptococcal",D016919
"Genetic Diseases, X-Linked",D040181
Erythema Induratum,D004891
Gonorrhea,D006069
Gingival Hypertrophy,D005886
Skin Manifestations,D012877
Prion Diseases,D017096
Noma,D009625
Urolithiasis,D052878
Facial Nerve Injuries,D020220
Oroantral Fistula,D009957
Supratentorial Neoplasms,D015173
Dental Pulp Necrosis,D003790
"Leukemia, Myeloid, Acute",D015470
Salpingitis,D012488
Sleep Paralysis,D020188
Hand Deformities,D006226
"Puberty, Delayed",D011628
Diabetic Coma,D003926
Dentin Dysplasia,D003805
Alcohol Withdrawal Seizures,D020270
Chondroma,D002812
"Carcinoma, Neuroendocrine",D018278
Pyruvate Dehydrogenase Complex Deficiency Disease,D015325
Prostatic Neoplasms,D011471
Histiocytic Sarcoma,D054747
Osteitis Deformans,D010001
Corneal Neovascularization,D016510
Orofaciodigital Syndromes,D009958
Dyslexia,D004410
Precursor Cell Lymphoblastic Leukemia-Lymphoma,D054198
Jaw Neoplasms,D007573
"Ventricular Dysfunction, Left",D018487
Pericoronitis,D010497
POEMS Syndrome,D016878
Ascorbic Acid Deficiency,D001206
Cataract,D002386
Hyperuricemia,D033461
Fascioloidiasis,D005213
Myofascial Pain Syndromes,D009209
Scheuermann Disease,D012544
Dental Leakage,D003763
Vestibulocochlear Nerve Diseases,D000160
"Substance Abuse, Intravenous",D015819
Spondylosis,D055009
Paraproteinemias,D010265
Corneal Opacity,D003318
Firesetting Behavior,D005391
Dysarthria,D004401
"Carcinoma, Brown-Pearce",D002284
Periprosthetic Fractures,D057068
Adenoviridae Infections,D000257
"Schizophrenia, Childhood",D012561
HTLV-II Infections,D015491
Escherichia coli Infections,D004927
Uterine Rupture,D014597
"Leukoencephalitis, Acute Hemorrhagic",D004684
Surgical Wound Infection,D013530
"Adenoma, Bile Duct",D002759
Trichiasis,D058457
Pulpitis,D011671
Herpes Zoster Oticus,D016697
Arthritis,D001168
"Neoplasms, Fibrous Tissue",D018218
"Colonic Diseases, Functional",D003109
DNA Virus Infections,D004266
Aortopulmonary Septal Defect,D001028
"Neurofibroma, Plexiform",D018318
Eye Foreign Bodies,D005129
"Embolism, Paradoxical",D019320
"Syphilis, Cutaneous",D013591
Conversion Disorder,D003291
Needlestick Injuries,D016602
Hyperlipoproteinemia Type IV,D006953
Hyperlipoproteinemia Type II,D006938
"Menopause, Premature",D008594
Basal Cell Nevus Syndrome,D001478
Microscopic Polyangiitis,D055953
Auditory Perceptual Disorders,D001308
Bacteriuria,D001437
Scrub Typhus,D012612
"Cystadenoma, Serous",D018293
Neoplasm Invasiveness,D009361
Eye Abnormalities,D005124
